Topic_ID,Terms,Weights
0,"evidence, rule, fre, court, federal rule, federal, rule evidence, fact, federal rule evidence, witness, expert, frcp, admissibility, hearsay, procedure","1.9571, 1.4498, 0.8256, 0.6615, 0.659, 0.5632, 0.528, 0.5132, 0.4971, 0.4213, 0.4116, 0.396, 0.3557, 0.3476, 0.3382"
1,"embeddings, llm, text, language, model, analysis, technique, learning, ai, used, relationship, vector, machine learning, machine, identify","0.9495, 0.472, 0.4291, 0.3838, 0.3481, 0.3227, 0.3059, 0.2996, 0.2923, 0.2919, 0.2898, 0.2709, 0.2687, 0.2656, 0.2539"
2,"communication, electronic, electronic communication, ecpa, computer, access, online, cfaa, privacy, act, unauthorized, interception, electronic communication privacy, communication privacy, communication privacy act","0.8419, 0.798, 0.621, 0.5176, 0.492, 0.4414, 0.3404, 0.3323, 0.2814, 0.281, 0.2803, 0.2371, 0.2352, 0.2352, 0.2352"
3,"contract, party, ucc, agreement, contract law, arbitration, law, breach, term, commercial, commercial code, uniform commercial, uniform commercial code, obligation, good","1.5861, 0.5732, 0.431, 0.3859, 0.2917, 0.2587, 0.2487, 0.2302, 0.1985, 0.1849, 0.1792, 0.1792, 0.1792, 0.1759, 0.1702"
4,"applies, central, law, provide, principle, final, relevant cite, cite applies, relevant cite applies, concise definitive, analyze cited, final concise, final concise definitive, analyze cited applies, provide final concise","0.423, 0.3393, 0.3138, 0.3029, 0.2933, 0.2491, 0.2382, 0.2382, 0.2382, 0.2381, 0.2381, 0.2381, 0.2381, 0.2381, 0.2381"
5,"data, gdpr, personal data, personal, data protection, protection, regulation, breach, protection regulation, data protection regulation, regulation gdpr, data subject, processing, protection regulation gdpr, biometric","1.3957, 0.4903, 0.4343, 0.4015, 0.386, 0.3387, 0.226, 0.2096, 0.1943, 0.1943, 0.1896, 0.1882, 0.186, 0.181, 0.1626"
6,"marriage, divorce, spouse, umda, marriage act, act, void, party, law, jurisdiction, divorce act, marriage divorce, uniform marriage divorce, uniform marriage, marriage divorce act","1.2702, 0.4612, 0.4437, 0.2854, 0.2306, 0.223, 0.2127, 0.186, 0.1824, 0.1721, 0.1679, 0.1663, 0.1656, 0.1656, 0.1656"
7,"right, amendment, constitution, state, court, united, constitutional, united state, employee, government, individual, supreme, fourth amendment, fourth, supreme court","0.7131, 0.4899, 0.3687, 0.3147, 0.3101, 0.2444, 0.2394, 0.2339, 0.2282, 0.2189, 0.2189, 0.211, 0.2091, 0.2091, 0.2061"
8,"person, criminal, act, code, property, ipc, crime, penal, penal code, cause, offence, harm, law, indian, state","0.8598, 0.4601, 0.4278, 0.4032, 0.3385, 0.3357, 0.3324, 0.3295, 0.3283, 0.3032, 0.2809, 0.2493, 0.2405, 0.2378, 0.2299"
9,"retrieval, search, document, query, improve, relevance, result, based, related, qa, search result, accuracy, algorithm, corpus, factor","1.4127, 0.7526, 0.5156, 0.5059, 0.2801, 0.2543, 0.2352, 0.2322, 0.2232, 0.221, 0.2178, 0.2141, 0.2003, 0.1925, 0.1868"
10,"child, parent, custody, court, uccjea, adoption, family, jurisdiction, child custody, parental, best, best child, law, family law, act","1.2435, 0.4448, 0.3619, 0.2683, 0.2123, 0.2102, 0.1976, 0.1955, 0.1938, 0.185, 0.1825, 0.1787, 0.1773, 0.1761, 0.1694"
